message,author
Watching by myself  #tweetdebate Not drinking ( waiting to start cringing at McCains blunders,drgilpin
@ahg3 @MichDot Yeah slime was actually my second choice cant say what the first one was. Okay were rolling...,starweaver
no debate moderators under 50 sorry  #tweetdebate,rebot
@current Now staring at black screen on http//www.current.com/debate  grrrrrrrrrrrrrrr  #current,Karoli
Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over #tweetdebate,Nicolas Ward
#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so,kellyrfeller
Obama 2 it an occupation not war #tweetdebate,jas_aiken
@TDefren  Im very nervous yes #tweetdebate,barbaranixon
#tweetdebate no golden parachutes no padding CEOs  Obama,guiambros
Q for Obama. Does the avg American know what a golden parachute is  #tweetdebate,AlbertMaruggi
McCain just gave a cheap plug to Ed Kennedy 1 #tweetdebate #current,themurmish
@current current channel reception is continually sucking. Gotta love comcast,TopDogVienna
McCain 3 for Kenndey comment #tweetdebate,kdpaine
McCain 2 for not knowing Kennedy is home and watching the debate  #tweetdebate,dabloguiman
#tweetdebate McCain starts awkwardly,daveevans
1 McCain for stalling with faux sympathy #tweetdebate,KennyL
@andrewa121 I only get OTA HD with my EyeTV 500.,TopDogVienna
McCain is talking about bipartisan negotiation Uh...no... 1 pt. #tweetdebate #current,ferret67
@current McCain looks so tired!! wayyyy past his bedtime #current,kdpaine
dear john they were sitting down till you came and stirred up a hornets nest. pulease 4 #tweetdebate,kdpaine
@andrewa121 He looks and sounds pretty tired.,PinkOliveFamily
@current Or its the beginning of the end of the beginning of the end.. Sheesh.,xylem
McCain 2 for a totally muddled answer on what the republicans are doing #tweetdebate,Duhh
McCain this is the end of the beginning. huh #tweetdebate,gwfrink3
McCain 2 gving credit to house republicans #tweetdebate,mhorta
1 McCain all over the place in his answer #tweetdebate,thunderberry
Nice McLame divides...Republicans uniquely came to fix it. Um ok. #tweetdebate,CarriBugbee
if ur oldest candidate in history why start with im not feeling great .. makes u thing youre not looking great either #tweetdebate,lulu_81
Obama 1  McCain 0  McCain didnt answer the question #tweetdebate,CarriBugbee
